domain,source_file,records,category
injuries,injury_history_frequency_by_pool_role_position.csv,440,runtime_tuning
injuries,injury_history_generation_algorithm.csv,12,algorithm
injuries,injury_history_generation_examples.csv,5,example
injuries,injury_history_narrative_rules.csv,18,rule
injuries,injury_history_phase_placement_weights.csv,60,weight_distribution
injuries,injury_history_research_basis.csv,7,research_basis
injuries,injury_medical_scouting_visibility_rules.csv,20,rule
injuries,injury_missed_time_rules.csv,8,rule
injuries,injury_rating_impact_rules.csv,244,rule
injuries,injury_recurrence_risk_rules.csv,72,rule
injuries,injury_return_to_play_recovery_curve.csv,360,runtime_tuning
injuries,injury_severity_distribution_by_family.csv,72,weight_distribution
injuries,injury_status_mapping_rules.csv,23,rule
nfl_contracts,nfl_initial_contract_generation_matrix.csv,77,runtime_tuning
nfl_contracts,nfl_initial_contract_research_basis.csv,5,research_basis
nfl_contracts,nfl_initial_contract_source_mix_by_roster_pool.csv,198,weight_distribution
nfl_contracts,nfl_initial_team_cap_health_targets.csv,4,target
nfl_aging_decline,nfl_age_curve_by_position.csv,351,runtime_tuning
nfl_aging_decline,nfl_aging_decline_examples.csv,5,example
nfl_aging_decline,nfl_aging_research_basis.csv,6,research_basis
nfl_aging_decline,nfl_attribute_decline_weights.csv,132,weight_distribution
nfl_aging_decline,nfl_career_template_weights_by_source.csv,666,weight_distribution
nfl_aging_decline,nfl_decline_event_weights.csv,325,weight_distribution
nfl_aging_decline,nfl_development_decline_backfill_curve.csv,150,runtime_tuning
nfl_aging_decline,nfl_development_decline_backfill_curve_v2_2.csv,1430,runtime_tuning
nfl_aging_decline,nfl_durability_wear_model.csv,52,runtime_tuning
nfl_aging_decline,nfl_experience_curve_by_position.csv,208,runtime_tuning
nfl_aging_decline,nfl_late_career_role_transition_rules.csv,11,rule
nfl_aging_decline,nfl_longevity_trait_rules.csv,5,rule
nfl_aging_decline,nfl_position_aging_profiles.csv,13,runtime_tuning
nfl_aging_decline,nfl_retirement_pressure_rules.csv,390,rule
nfl_awards,nfl_all_pro_roster_slots.csv,80,runtime_tuning
nfl_awards,nfl_all_pro_selection_weights.csv,80,weight_distribution
nfl_awards,nfl_award_career_history_backfill_rules.csv,40,rule
nfl_awards,nfl_award_eligibility_rules.csv,15,rule
nfl_awards,nfl_award_generation_algorithm.csv,10,algorithm
nfl_awards,nfl_award_generation_examples.csv,7,example
nfl_awards,nfl_award_history_generation_rules.csv,27,rule
nfl_awards,nfl_award_narrative_modifiers.csv,7,modifier
nfl_awards,nfl_award_position_bias_weights.csv,41,weight_distribution
nfl_awards,nfl_award_rarity_balance_targets.csv,13,validation_target
nfl_awards,nfl_award_selection_weights.csv,11,weight_distribution
nfl_awards,nfl_award_stat_thresholds.csv,21,runtime_tuning
nfl_awards,nfl_award_taxonomy.csv,16,definition
nfl_awards,nfl_award_team_context_modifiers.csv,8,modifier
nfl_awards,nfl_award_to_contract_reputation_signal_weights.csv,11,weight_distribution
nfl_awards,nfl_awards_research_basis.csv,5,research_basis
nfl_awards,nfl_pro_bowl_selection_rules.csv,30,rule
nfl_contracts,nfl_active_minimum_salary_table.csv,21,runtime_tuning
nfl_contracts,nfl_contract_cap_environment.csv,3,runtime_tuning
nfl_contracts,nfl_contract_cut_trade_dead_money_rules.csv,4,rule
nfl_contracts,nfl_contract_generation_examples.csv,5,example
nfl_contracts,nfl_contract_guarantee_bonus_rules.csv,13,rule
nfl_contracts,nfl_contract_history_cap_mechanics_rules.csv,9,rule
nfl_contracts,nfl_contract_history_comp_pick_signal_rules.csv,6,rule
nfl_contracts,nfl_contract_history_dead_money_rules.csv,5,rule
nfl_contracts,nfl_contract_history_event_taxonomy.csv,26,definition
nfl_contracts,nfl_contract_history_event_weights_by_age_role.csv,42,weight_distribution
nfl_contracts,nfl_contract_history_event_weights_by_origin.csv,61,weight_distribution
nfl_contracts,nfl_contract_history_extension_rules.csv,60,rule
nfl_contracts,nfl_contract_history_generation_algorithm.csv,12,algorithm
nfl_contracts,nfl_contract_history_generation_examples.csv,6,example
nfl_contracts,nfl_contract_history_generation_rules.csv,11,rule
nfl_contracts,nfl_contract_history_narrative_rules.csv,11,rule
nfl_contracts,nfl_contract_history_path_templates.csv,56,runtime_tuning
nfl_contracts,nfl_contract_history_player_value_modifiers.csv,11,modifier
nfl_contracts,nfl_contract_history_practice_squad_reserve_future_rules.csv,5,rule
nfl_contracts,nfl_contract_history_release_trade_rules.csv,42,rule
nfl_contracts,nfl_contract_history_research_basis.csv,8,research_basis
nfl_contracts,nfl_contract_history_restructure_rules.csv,30,rule
nfl_contracts,nfl_contract_history_rookie_deal_rules.csv,8,rule
nfl_contracts,nfl_contract_history_tag_tender_rules.csv,84,rule
nfl_contracts,nfl_contract_history_team_cap_context_modifiers.csv,6,modifier
nfl_contracts,nfl_contract_history_timing_rules.csv,15,rule
nfl_contracts,nfl_contract_history_udfa_journey_rules.csv,4,rule
nfl_contracts,nfl_contract_history_validation_balance_targets.csv,10,validation_target
nfl_contracts,nfl_contract_structure_by_age_role.csv,35,runtime_tuning
nfl_contracts,nfl_contract_type_archetypes.csv,13,runtime_tuning
nfl_contracts,nfl_contract_validation_balance_targets.csv,7,validation_target
nfl_contracts,nfl_position_contract_market_bands.csv,96,runtime_tuning
nfl_contracts,nfl_practice_squad_salary_table.csv,10,runtime_tuning
nfl_contracts,nfl_rookie_contract_scale_by_pick_band.csv,14,runtime_tuning
nfl_contracts,nfl_rookie_fifth_year_option_rules.csv,2,rule
nfl_contracts,nfl_tag_tender_rules.csv,11,rule
nfl_free_agents,nfl_free_agent_age_experience_by_role.csv,186,runtime_tuning
nfl_free_agents,nfl_free_agent_composition_examples.csv,6,example
nfl_free_agents,nfl_free_agent_contract_expectation_matrix.csv,67,runtime_tuning
nfl_free_agents,nfl_free_agent_interest_weights.csv,7,weight_distribution
nfl_free_agents,nfl_free_agent_market_phase_rules.csv,5,rule
nfl_free_agents,nfl_free_agent_market_research_basis.csv,7,research_basis
nfl_free_agents,nfl_free_agent_pool_balance_targets.csv,8,validation_target
nfl_free_agents,nfl_free_agent_practice_squad_conversion_targets.csv,11,target
nfl_free_agents,nfl_free_agent_replacement_level_thresholds.csv,11,runtime_tuning
nfl_free_agents,nfl_free_agent_role_quality_mix_by_position.csv,385,weight_distribution
nfl_free_agents,nfl_free_agent_source_mix_by_role.csv,185,weight_distribution
nfl_free_agents,nfl_free_agent_specialist_market_rules.csv,2,rule
nfl_practice_squad,nfl_practice_squad_age_experience_by_quality.csv,24,runtime_tuning
nfl_practice_squad,nfl_practice_squad_composition_profiles.csv,84,runtime_tuning
nfl_practice_squad,nfl_practice_squad_development_value_rules.csv,6,rule
nfl_practice_squad,nfl_practice_squad_elevation_quality_weights.csv,24,weight_distribution
nfl_practice_squad,nfl_practice_squad_eligibility_buckets.csv,5,runtime_tuning
nfl_practice_squad,nfl_practice_squad_poach_protection_rules.csv,6,rule
nfl_practice_squad,nfl_practice_squad_position_targets.csv,16,target
nfl_practice_squad,nfl_practice_squad_profile_weights_by_team_context.csv,29,weight_distribution
nfl_practice_squad,nfl_practice_squad_quality_balance_targets.csv,12,validation_target
nfl_practice_squad,nfl_practice_squad_quality_generation_algorithm.csv,8,algorithm
nfl_practice_squad,nfl_practice_squad_quality_generation_examples.csv,5,example
nfl_practice_squad,nfl_practice_squad_quality_mix_by_position_group.csv,66,weight_distribution
nfl_practice_squad,nfl_practice_squad_quality_research_basis.csv,5,research_basis
nfl_practice_squad,nfl_practice_squad_quality_tiers.csv,6,runtime_tuning
nfl_practice_squad,nfl_practice_squad_rulebook.csv,1,definition
nfl_practice_squad,nfl_practice_squad_salary_rules.csv,4,rule
nfl_practice_squad,nfl_practice_squad_source_mix_by_quality.csv,30,weight_distribution
nfl_practice_squad,nfl_practice_squad_team_context_modifiers.csv,5,modifier
nfl_practice_squad,nfl_practice_squad_veteran_usage_rules.csv,6,rule
nfl_reserve_status,nfl_reserve_status_balance_targets.csv,9,validation_target
nfl_reserve_status,nfl_reserve_status_contract_rules.csv,5,rule
nfl_reserve_status,nfl_reserve_status_duration_rules.csv,6,rule
nfl_reserve_status,nfl_reserve_status_generation_algorithm.csv,7,algorithm
nfl_reserve_status,nfl_reserve_status_generation_examples.csv,5,example
nfl_reserve_status,nfl_reserve_status_history_generation_rules.csv,7,rule
nfl_reserve_status,nfl_reserve_status_injury_family_eligibility.csv,14,runtime_tuning
nfl_reserve_status,nfl_reserve_status_mix_by_team_profile.csv,30,weight_distribution
nfl_reserve_status,nfl_reserve_status_phase_frequency_targets.csv,4,target
nfl_reserve_status,nfl_reserve_status_player_role_selection_weights.csv,8,weight_distribution
nfl_reserve_status,nfl_reserve_status_position_risk_weights.csv,13,weight_distribution
nfl_reserve_status,nfl_reserve_status_quality_mix.csv,30,weight_distribution
nfl_reserve_status,nfl_reserve_status_roster_cap_accounting.csv,6,runtime_tuning
nfl_reserve_status,nfl_reserve_status_rulebook.csv,9,definition
nfl_reserve_status,nfl_reserve_status_team_context_modifiers.csv,5,modifier
nfl_reserve_status,nfl_reserve_status_transition_rules.csv,18,rule
nfl_rosters,initial_nfl_age_experience_distribution.csv,72,weight_distribution
nfl_rosters,initial_nfl_contract_archetypes.csv,8,runtime_tuning
nfl_rosters,initial_nfl_contract_distribution.csv,54,weight_distribution
nfl_rosters,initial_nfl_free_agent_pool_targets.csv,80,target
nfl_rosters,initial_nfl_ir_stash_rules.csv,9,rule
nfl_rosters,initial_nfl_practice_squad_targets.csv,12,target
nfl_rosters,initial_nfl_quality_distribution.csv,84,weight_distribution
nfl_rosters,initial_nfl_roster_quality_by_team_tier.csv,10,runtime_tuning
nfl_rosters,initial_nfl_roster_targets.csv,16,target
nfl_rosters,nfl_veteran_backfill_templates_v2_2.csv,9,runtime_tuning
nfl_rosters,nfl_veteran_career_path_templates.csv,9,runtime_tuning
nfl_rosters,nfl_veteran_history_generation_rules.csv,9,rule
nfl_team_strength,nfl_team_strength_balance_targets.csv,5,validation_target
nfl_team_strength,nfl_team_strength_cap_health_generation_rules.csv,15,rule
nfl_team_strength,nfl_team_strength_component_weights.csv,5,weight_distribution
nfl_team_strength,nfl_team_strength_context_modifiers.csv,5,modifier
nfl_team_strength,nfl_team_strength_design_basis.csv,4,research_basis
nfl_team_strength,nfl_team_strength_division_balance_rules.csv,8,rule
nfl_team_strength,nfl_team_strength_draft_capital_generation_rules.csv,10,rule
nfl_team_strength,nfl_team_strength_generation_algorithm.csv,10,algorithm
nfl_team_strength,nfl_team_strength_generation_examples.csv,4,example
nfl_team_strength,nfl_team_strength_league_tier_distribution.csv,10,weight_distribution
nfl_team_strength,nfl_team_strength_position_group_modifiers.csv,45,modifier
nfl_team_strength,nfl_team_strength_rank_to_win_targets.csv,5,target
nfl_team_strength,nfl_team_strength_roster_quality_mix.csv,5,weight_distribution
nfl_team_strength,nfl_team_strength_scenario_rules.csv,3,rule
nfl_team_strength,nfl_team_strength_tier_definitions.csv,5,definition
nfl_team_strength,nfl_team_strength_volatility_rules.csv,5,rule
nfl_team_strength,nfl_year_zero_team_reserve_profile_weights.csv,5,weight_distribution
nfl_team_strength,nfl_year_zero_team_strength_eligibility.csv,32,runtime_tuning
scouting,evaluator_scouting_bias_profiles.csv,8,runtime_tuning
scouting,scouting_base_uncertainty_by_pool_position_group.csv,96,runtime_tuning
scouting,scouting_bias_profile_effects.csv,16,runtime_tuning
scouting,scouting_bias_profile_weights.csv,23,weight_distribution
scouting,scouting_confidence_progression_rules.csv,7,rule
scouting,scouting_confidence_to_range_width_rules.csv,42,rule
scouting,scouting_debug_export_schema.csv,17,debug_schema
scouting,scouting_disagreement_rules.csv,9,rule
scouting,scouting_display_band_rules.csv,7,rule
scouting,scouting_draft_tier_uncertainty_modifiers.csv,11,modifier
scouting,scouting_evaluator_contexts.csv,6,runtime_tuning
scouting,scouting_information_source_rules.csv,11,rule
scouting,scouting_medical_character_visibility_rules.csv,8,rule
scouting,scouting_noise_distribution_rules.csv,6,weight_distribution
scouting,scouting_red_flag_visibility_rules.csv,7,rule
scouting,scouting_regional_pipeline_modifiers.csv,7,modifier
scouting,scouting_research_basis.csv,6,research_basis
scouting,scouting_staff_quality_modifiers.csv,6,modifier
scouting,scouting_star_band_uncertainty_modifiers.csv,8,modifier
scouting,scouting_subject_pool_definitions.csv,8,definition
scouting,scouting_team_context_confidence_modifiers.csv,11,modifier
scouting,scouting_uncertainty_balance_targets.csv,10,validation_target
scouting,scouting_uncertainty_generation_examples.csv,6,example
scouting,scouting_update_event_rules.csv,15,rule
scouting,scouting_view_generation_algorithm.csv,15,algorithm
scouting,scouting_visibility_dimension_taxonomy.csv,11,definition
transfer_portal,initial_transfer_portal_class_mix.csv,5,weight_distribution
transfer_portal,initial_transfer_portal_targets.csv,8,target
transfer_portal,transfer_portal_origin_destination_rules.csv,7,rule
transfer_portal,transfer_portal_quality_distribution.csv,6,weight_distribution
transfer_portal,transfer_portal_reason_weights.csv,9,weight_distribution
transfer_portal,transfer_portal_roster_repair_rules.csv,4,rule
transfer_repair,transfer_destination_overflow_resolution_rules.csv,5,rule
transfer_repair,transfer_repair_class_balance_rules.csv,72,rule
transfer_repair,transfer_repair_debug_export_schema.csv,12,debug_schema
transfer_repair,transfer_repair_examples.csv,4,example
transfer_repair,transfer_repair_external_addition_rules.csv,18,rule
transfer_repair,transfer_repair_history_stub_rules.csv,5,rule
transfer_repair,transfer_repair_internal_position_change_rules.csv,13,rule
transfer_repair,transfer_repair_method_weights_by_position_group.csv,36,weight_distribution
transfer_repair,transfer_repair_method_weights_by_program_tier.csv,54,weight_distribution
transfer_repair,transfer_repair_position_priority_rules.csv,16,rule
transfer_repair,transfer_repair_priority_matrix.csv,8,runtime_tuning
transfer_repair,transfer_repair_quality_caps.csv,9,runtime_tuning
transfer_repair,transfer_repair_research_basis.csv,6,research_basis
transfer_repair,transfer_repair_scholarship_walkon_rules.csv,9,rule
transfer_repair,transfer_repair_scouting_uncertainty_rules.csv,6,rule
transfer_repair,transfer_repair_team_context_modifiers.csv,8,modifier
transfer_repair,transfer_repair_trigger_rules.csv,7,rule
transfer_repair,transfer_repair_validation_targets.csv,8,validation_target
transfer_repair,transfer_repair_walkon_generation_rules.csv,9,rule
transfer_repair,transfer_roster_accounting_rules.csv,7,rule
transfer_repair,transfer_roster_repair_algorithm.csv,9,algorithm
transfer_repair,transfer_roster_repair_policy.csv,8,runtime_tuning
udfa,udfa_alternative_league_return_rules.csv,4,rule
udfa,udfa_career_path_balance_targets.csv,9,validation_target
udfa,udfa_career_path_generation_algorithm.csv,12,algorithm
udfa,udfa_career_path_generation_examples.csv,6,example
udfa,udfa_career_path_taxonomy.csv,9,definition
udfa,udfa_career_paths_research_basis.csv,8,research_basis
udfa,udfa_contract_signal_rules.csv,5,rule
udfa,udfa_draft_grade_to_signing_priority.csv,5,runtime_tuning
udfa,udfa_first_year_path_weights_by_position_priority.csv,123,weight_distribution
udfa,udfa_history_generation_rules.csv,10,rule
udfa,udfa_long_term_career_outcome_weights.csv,23,weight_distribution
udfa,udfa_position_success_modifiers.csv,16,modifier
udfa,udfa_practice_squad_development_path_rules.csv,6,rule
udfa,udfa_signing_priority_signal_rules.csv,5,rule
udfa,udfa_source_reason_weights_by_priority.csv,9,weight_distribution
udfa,udfa_status_transition_rules.csv,8,rule
udfa,udfa_team_usage_profiles.csv,5,runtime_tuning
udfa,udfa_year_zero_veteran_origin_backfill_rules.csv,5,rule
year_zero_core,year_zero_balance_targets.csv,14,validation_target
year_zero_core,year_zero_debug_export_schema.csv,10,debug_schema
year_zero_core,year_zero_generation_phases.csv,20,runtime_tuning
year_zero_core,year_zero_loading_progress_steps.csv,15,runtime_tuning
year_zero_core,year_zero_player_history_rules.csv,15,rule
year_zero_core,year_zero_rng_streams.csv,17,runtime_tuning
