pick,round,pick_value,internal_value_default,source_basis
234,8,34.23,34.23,synthetic_gameplay_tuning
235,8,34.11,34.11,synthetic_gameplay_tuning
236,8,33.99,33.99,synthetic_gameplay_tuning
237,8,33.87,33.87,synthetic_gameplay_tuning
238,8,33.75,33.75,synthetic_gameplay_tuning
239,8,33.64,33.64,synthetic_gameplay_tuning
240,8,33.52,33.52,synthetic_gameplay_tuning
241,8,33.41,33.41,synthetic_gameplay_tuning
242,8,33.3,33.3,synthetic_gameplay_tuning
243,8,33.18,33.18,synthetic_gameplay_tuning
244,8,33.07,33.07,synthetic_gameplay_tuning
245,8,32.96,32.96,synthetic_gameplay_tuning
246,8,32.85,32.85,synthetic_gameplay_tuning
247,8,32.74,32.74,synthetic_gameplay_tuning
248,8,32.63,32.63,synthetic_gameplay_tuning
249,8,32.53,32.53,synthetic_gameplay_tuning
250,8,32.42,32.42,synthetic_gameplay_tuning
251,8,32.31,32.31,synthetic_gameplay_tuning
252,8,32.21,32.21,synthetic_gameplay_tuning
253,8,32.1,32.1,synthetic_gameplay_tuning
254,8,32.0,32.0,synthetic_gameplay_tuning
255,8,31.9,31.9,synthetic_gameplay_tuning
256,8,31.8,31.8,synthetic_gameplay_tuning
257,9,31.69,31.69,synthetic_gameplay_tuning
